cpuDT,cpuSec,memDT,memUsage_modified,reqDT,reqCount,res200DT,res200Count,res502DT,res502Count,resDT,resTime
2020-05-17 09:00:50,1251.88,2020-05-17 09:00:50,1.481245696,2020-05-17 09:01:50,44.0,2020-05-17 09:02:00,787.0,2020-05-17 09:05:20,2229.0,2020-05-17 09:01:50,38013.663012
2020-05-17 09:01:00,1281.69,2020-05-17 09:01:00,1.50987776,2020-05-17 09:02:00,44.0,2020-05-17 09:02:10,787.0,2020-05-17 09:05:30,2277.0,2020-05-17 09:02:00,39111.017518
2020-05-17 09:01:10,1312.3899999999999,2020-05-17 09:01:10,1.560188928,2020-05-17 09:02:10,40.0,2020-05-17 09:02:20,787.0,2020-05-17 09:05:40,2332.0,2020-05-17 09:02:10,40620.73273
2020-05-17 09:01:20,1343.17,2020-05-17 09:01:20,1.577797632,2020-05-17 09:02:20,45.0,2020-05-17 09:02:30,787.0,2020-05-17 09:05:50,2369.0,2020-05-17 09:02:20,39969.180599
2020-05-17 09:01:30,1370.8,2020-05-17 09:01:30,1.639016448,2020-05-17 09:02:30,46.0,2020-05-17 09:02:40,787.0,2020-05-17 09:06:00,2408.0,2020-05-17 09:02:30,40504.505209
2020-05-17 09:01:40,1402.4299999999998,2020-05-17 09:01:40,1.742225408,2020-05-17 09:02:40,40.0,2020-05-17 09:02:50,787.0,2020-05-17 09:06:10,2447.0,2020-05-17 09:02:40,41687.558623
2020-05-17 09:01:50,1435.0300000000002,2020-05-17 09:01:50,1.704963072,2020-05-17 09:02:50,42.0,2020-05-17 09:03:00,787.0,2020-05-17 09:06:20,2493.0,2020-05-17 09:02:50,42601.526011
2020-05-17 09:02:00,1462.48,2020-05-17 09:02:00,1.757964288,2020-05-17 09:03:00,46.0,2020-05-17 09:03:10,787.0,2020-05-17 09:06:30,2545.0,2020-05-17 09:03:00,44949.058678
2020-05-17 09:02:10,1494.6399999999999,2020-05-17 09:02:10,1.823396864,2020-05-17 09:03:10,48.0,2020-05-17 09:03:20,787.0,2020-05-17 09:06:40,2590.0,2020-05-17 09:03:10,45227.583802
2020-05-17 09:02:20,1525.8600000000001,2020-05-17 09:02:20,1.882819584,2020-05-17 09:03:20,40.0,2020-05-17 09:03:30,787.0,2020-05-17 09:06:50,2628.0,2020-05-17 09:03:20,45894.651681
2020-05-17 09:02:30,1555.65,2020-05-17 09:02:30,1.818862592,2020-05-17 09:03:30,46.0,2020-05-17 09:03:40,787.0,2020-05-17 09:07:00,2674.0,2020-05-17 09:03:30,46561.127324
2020-05-17 09:02:40,1584.83,2020-05-17 09:02:40,1.965743104,2020-05-17 09:03:40,38.0,2020-05-17 09:03:50,787.0,2020-05-17 09:07:10,2711.0,2020-05-17 09:03:40,46624.093751
2020-05-17 09:02:50,1615.1599999999999,2020-05-17 09:02:50,2.0452864,2020-05-17 09:03:50,56.0,2020-05-17 09:04:00,787.0,2020-05-17 09:07:20,2759.0,2020-05-17 09:03:50,48109.350072
2020-05-17 09:03:00,1645.4099999999999,2020-05-17 09:03:00,2.071564288,2020-05-17 09:04:00,44.0,2020-05-17 09:04:10,787.0,2020-05-17 09:07:30,2813.0,2020-05-17 09:04:00,48904.320545
2020-05-17 09:03:10,1674.0700000000002,2020-05-17 09:03:10,1.993641984,2020-05-17 09:04:10,36.0,2020-05-17 09:04:20,787.0,2020-05-17 09:07:40,2859.0,2020-05-17 09:04:10,50065.181384
2020-05-17 09:03:20,1706.4299999999998,2020-05-17 09:03:20,2.108640256,2020-05-17 09:04:20,43.0,2020-05-17 09:04:30,787.0,2020-05-17 09:07:50,2902.0,2020-05-17 09:04:20,51310.312691
2020-05-17 09:03:30,1735.42,2020-05-17 09:03:30,2.174585856,2020-05-17 09:04:30,48.0,2020-05-17 09:04:40,787.0,2020-05-17 09:08:00,2950.0,2020-05-17 09:04:30,50983.668756
2020-05-17 09:03:40,1765.6599999999999,2020-05-17 09:03:40,2.25737728,2020-05-17 09:04:40,50.0,2020-05-17 09:04:50,787.0,2020-05-17 09:08:10,2991.0,2020-05-17 09:04:40,50879.155897
2020-05-17 09:03:50,1795.48,2020-05-17 09:03:50,2.192212992,2020-05-17 09:04:50,48.0,2020-05-17 09:05:00,787.0,2020-05-17 09:08:20,3044.0,2020-05-17 09:04:50,52068.084292
2020-05-17 09:04:00,1825.44,2020-05-17 09:04:00,2.140317696,2020-05-17 09:05:00,35.0,2020-05-17 09:05:10,787.0,2020-05-17 09:08:30,3098.0,2020-05-17 09:05:00,52466.571751
2020-05-17 09:04:10,1854.9499999999998,2020-05-17 09:04:10,2.320173056,2020-05-17 09:05:10,47.0,2020-05-17 09:05:20,787.0,2020-05-17 09:08:40,3124.0,2020-05-17 09:05:10,54251.878082
2020-05-17 09:04:20,1883.94,2020-05-17 09:04:20,2.34545152,2020-05-17 09:05:20,37.0,2020-05-17 09:05:30,787.0,,,2020-05-17 09:05:20,54774.260964
2020-05-17 09:04:30,1917.44,2020-05-17 09:04:30,2.436606976,2020-05-17 09:05:30,54.0,2020-05-17 09:05:40,787.0,,,2020-05-17 09:05:30,55087.465843
2020-05-17 09:04:40,1944.92,2020-05-17 09:04:40,2.304377856,2020-05-17 09:05:40,47.0,2020-05-17 09:05:50,787.0,,,2020-05-17 09:05:40,56212.399272
2020-05-17 09:04:50,1974.44,2020-05-17 09:04:50,2.316473344,2020-05-17 09:05:50,29.0,2020-05-17 09:06:00,787.0,,,2020-05-17 09:05:50,57777.915859
2020-05-17 09:05:00,2006.6100000000001,2020-05-17 09:05:00,2.542563328,2020-05-17 09:06:00,47.0,2020-05-17 09:06:10,787.0,,,2020-05-17 09:06:00,57373.391061
2020-05-17 09:05:10,2034.54,2020-05-17 09:05:10,2.53464064,2020-05-17 09:06:10,38.0,2020-05-17 09:06:20,787.0,,,2020-05-17 09:06:10,60000.365667
2020-05-17 09:05:20,2067.81,2020-05-17 09:05:20,2.644759552,2020-05-17 09:06:20,45.0,2020-05-17 09:06:30,787.0,,,2020-05-17 09:06:20,60000.227265
2020-05-17 09:05:30,2098.42,2020-05-17 09:05:30,2.52248064,2020-05-17 09:06:30,55.0,2020-05-17 09:06:40,787.0,,,2020-05-17 09:06:30,60000.380663
2020-05-17 09:05:40,2124.02,2020-05-17 09:05:40,2.518216704,2020-05-17 09:06:40,41.0,2020-05-17 09:06:50,787.0,,,2020-05-17 09:06:40,60000.385267
2020-05-17 09:05:50,2157.01,2020-05-17 09:05:50,2.65358848,2020-05-17 09:06:50,37.0,2020-05-17 09:07:00,787.0,,,2020-05-17 09:06:50,60000.429256
2020-05-17 09:06:00,2187.72,2020-05-17 09:06:00,2.717299712,2020-05-17 09:07:00,50.0,2020-05-17 09:07:10,787.0,,,2020-05-17 09:07:00,60000.333626
2020-05-17 09:06:10,2217.6,2020-05-17 09:06:10,2.789223424,2020-05-17 09:07:10,35.0,2020-05-17 09:07:20,787.0,,,2020-05-17 09:07:10,60003.13143
2020-05-17 09:06:20,2246.05,2020-05-17 09:06:20,2.845535232,2020-05-17 09:07:20,51.0,2020-05-17 09:07:30,787.0,,,2020-05-17 09:07:20,60000.439194
2020-05-17 09:06:30,2276.73,2020-05-17 09:06:30,2.686204928,2020-05-17 09:07:30,56.0,2020-05-17 09:07:40,787.0,,,2020-05-17 09:07:30,60000.459009
2020-05-17 09:06:40,2308.38,2020-05-17 09:06:40,2.708502528,2020-05-17 09:07:40,43.0,2020-05-17 09:07:50,787.0,,,2020-05-17 09:07:40,60001.270266
2020-05-17 09:06:50,2337.0,2020-05-17 09:06:50,2.841993216,2020-05-17 09:07:50,41.0,2020-05-17 09:08:00,787.0,,,2020-05-17 09:07:50,60000.373624
2020-05-17 09:07:00,2366.87,2020-05-17 09:07:00,2.853405696,2020-05-17 09:08:00,51.0,2020-05-17 09:08:10,787.0,,,2020-05-17 09:08:00,60000.697122
2020-05-17 09:07:10,2397.08,2020-05-17 09:07:10,3.0676736,2020-05-17 09:08:10,41.0,2020-05-17 09:08:20,787.0,,,2020-05-17 09:08:10,60000.998782
2020-05-17 09:07:20,2426.76,2020-05-17 09:07:20,3.056187392,2020-05-17 09:08:20,53.0,2020-05-17 09:08:30,787.0,,,2020-05-17 09:08:20,60000.647518
2020-05-17 09:07:30,2457.12,2020-05-17 09:07:30,2.983707648,2020-05-17 09:08:30,58.0,2020-05-17 09:08:40,787.0,,,2020-05-17 09:08:30,60000.331313
2020-05-17 09:07:40,2486.4700000000003,2020-05-17 09:07:40,3.017428992,2020-05-17 09:08:40,47.0,,,,,2020-05-17 09:08:40,60000.324849
2020-05-17 09:07:50,2516.23,2020-05-17 09:07:50,3.171470336,2020-05-17 09:08:50,44.0,,,,,2020-05-17 09:08:50,60000.322569
2020-05-17 09:08:00,2546.75,2020-05-17 09:08:00,3.268154368,2020-05-17 09:09:00,54.0,,,,,2020-05-17 09:09:00,59903.250313
2020-05-17 09:08:10,2573.42,2020-05-17 09:08:10,3.351974912,2020-05-17 09:09:10,56.0,,,,,2020-05-17 09:09:10,60000.303284
2020-05-17 09:08:20,2603.67,2020-05-17 09:08:20,3.492472832,2020-05-17 09:09:20,66.0,,,,,2020-05-17 09:09:20,60000.279847
2020-05-17 09:08:30,2634.43,2020-05-17 09:08:30,3.606649856,2020-05-17 09:09:30,72.0,,,,,2020-05-17 09:09:30,59902.856757
,,,,2020-05-17 09:09:40,105.0,,,,,2020-05-17 09:09:40,59905.66721
,,,,2020-05-17 09:09:50,116.0,,,,,2020-05-17 09:09:50,59902.993934
,,,,2020-05-17 09:10:00,129.0,,,,,2020-05-17 09:10:00,59902.860177
,,,,2020-05-17 09:10:10,108.0,,,,,,
,,,,2020-05-17 09:10:20,177.0,,,,,,
,,,,2020-05-17 09:10:30,217.0,,,,,,
,,,,2020-05-17 09:10:40,174.0,,,,,,
,,,,2020-05-17 09:10:50,201.0,,,,,,
,,,,2020-05-17 09:11:00,241.0,,,,,,
,,,,2020-05-17 09:11:10,223.0,,,,,,
,,,,2020-05-17 09:11:20,270.0,,,,,,
,,,,2020-05-17 09:11:30,250.0,,,,,,
,,,,2020-05-17 09:11:40,86.0,,,,,,
