Time,cpu,mem,replica,requests,responsetime,totalcpu,totalmemory
2020-07-22 23:41:07.130,1.667738915854546,445726720.0,1.0,134.0,4.3936530000000005,2.0,8362713088.0
2020-07-22 23:41:12.130,1.662733995363721,347058176.0,1.0,98.0,4.3936530000000005,2.0,8362713088.0
2020-07-22 23:41:17.130,1.6569951526517694,434245632.0,1.0,94.0,4.3936530000000005,2.0,8362713088.0
2020-07-22 23:41:22.130,1.6455568845636366,371183616.0,1.0,97.0,4.3936530000000005,2.0,8362713088.0
2020-07-22 23:41:27.130,1.6604239978895954,393916416.0,1.0,97.0,4.3936530000000005,2.0,8362713088.0
2020-07-22 23:41:32.130,1.6682197090138084,283054080.0,1.0,97.0,4.3936530000000005,2.0,8362713088.0
2020-07-22 23:41:37.130,1.6575956267485257,327053312.0,1.0,98.0,4.3936530000000005,2.0,8362713088.0
2020-07-22 23:41:42.130,1.6516699317239814,352956416.0,1.0,95.0,4.3936530000000005,2.0,8362713088.0
2020-07-22 23:41:47.130,1.6744737800327,436924416.0,1.0,93.0,4.3936530000000005,2.0,8362713088.0
2020-07-22 23:41:52.130,1.6473266682067205,351932416.0,1.0,91.0,4.3936530000000005,2.0,8362713088.0
2020-07-22 23:41:57.130,1.6500975965730078,395493376.0,1.0,92.0,4.3936530000000005,2.0,8362713088.0
2020-07-22 23:42:02.130,1.6406744234061388,451473408.0,1.0,93.0,1.088946,2.0,8362713088.0
2020-07-22 23:42:07.130,1.6376949155614955,352948224.0,1.0,92.0,1.088946,2.0,8362713088.0
2020-07-22 23:42:12.130,1.6411639345089226,287174656.0,1.0,93.0,3.547892,2.0,8362713088.0
2020-07-22 23:42:17.130,1.6560939375840873,301080576.0,1.0,93.0,3.547892,2.0,8362713088.0
2020-07-22 23:42:22.130,1.6577041200567286,399241216.0,1.0,92.0,3.547892,2.0,8362713088.0
2020-07-22 23:42:27.130,1.655111247199999,380293120.0,1.0,93.0,3.547892,2.0,8362713088.0
2020-07-22 23:42:32.130,1.6714843706862044,315371520.0,1.0,94.0,3.547892,2.0,8362713088.0
2020-07-22 23:42:37.130,1.6714256509983152,343666688.0,1.0,93.0,3.547892,2.0,8362713088.0
2020-07-22 23:42:42.130,1.6541838923332501,351981568.0,1.0,93.0,3.547892,2.0,8362713088.0
2020-07-22 23:42:47.130,1.6558447930931834,311705600.0,1.0,93.0,3.547892,2.0,8362713088.0
2020-07-22 23:42:52.130,1.6626135036873224,352890880.0,1.0,93.0,3.547892,2.0,8362713088.0
2020-07-22 23:42:57.130,1.6441688104674508,432873472.0,1.0,94.0,3.547892,2.0,8362713088.0
2020-07-22 23:43:02.130,1.6657174918837927,355000320.0,1.0,94.0,3.547892,2.0,8362713088.0
2020-07-22 23:43:07.130,1.6488225799639071,380788736.0,1.0,94.0,3.547892,2.0,8362713088.0
2020-07-22 23:43:12.130,1.651945602697029,420634624.0,1.0,94.0,3.547892,2.0,8362713088.0
2020-07-22 23:43:17.130,1.6474486525905205,413921280.0,1.0,94.0,3.547892,2.0,8362713088.0
2020-07-22 23:43:22.130,1.6449246166325882,344391680.0,1.0,94.0,3.547892,2.0,8362713088.0
2020-07-22 23:43:27.130,1.6606439916909106,429867008.0,1.0,94.0,3.547892,2.0,8362713088.0
2020-07-22 23:43:32.130,1.6423678267272732,418516992.0,1.0,94.0,3.547892,2.0,8362713088.0
2020-07-22 23:43:37.130,1.6504859347343912,400654336.0,1.0,95.0,3.547892,2.0,8362713088.0
2020-07-22 23:43:42.130,1.653393740109093,393064448.0,1.0,95.0,3.547892,2.0,8362713088.0
2020-07-22 23:43:47.130,1.6545897147584514,394272768.0,1.0,95.0,3.547892,2.0,8362713088.0
2020-07-22 23:43:52.130,1.6692593415028827,442732544.0,1.0,96.0,3.547892,2.0,8362713088.0
